Code,Company,Sector,Market Cap,Weight
A2M,The A2 Milk Company Limited NZ,Consumer Staples,1584430000,0.1
AAC,Australian Agricultural Company Limited,Consumer Staples,793369000,0.05
AAD,Ardent Leisure Group Stapled,Consumer Discretionary,766970000,0.05
ABC,Adelaide Brighton Limited,Materials,3488640000,0.21
ABP,Abacus Property Group Stapled,Real Estate,1774210000,0.11
ACX,Aconex Limited,Information Technology,675174000,0.04
AGL,AGL Energy Limited,Utilities,16209700000,1
AHG,Automotive Holdings Group Limited,Consumer Discretionary,1323180000,0.08
AHY,Asaleo Care Limited,Consumer Staples,902233000,0.06
ALL,Aristocrat Leisure Limited,Consumer Discretionary,10599800000,0.65
ALQ,Als Limited,Industrials,3045500000,0.19
ALU,Altium Limited,Information Technology,942762000,0.06
AMC,Amcor Limited,Materials,16271900000,1
AMP,AMP Limited,Financials,14433800000,0.89
ANN,Ansell Limited,Health Care,3139160000,0.19
ANZ,Australia And New Zealand Banking Group Limited,Financials,90723500000,5.58
AOG,Aveo Group Stapled,Real Estate,1848650000,0.11
APA,APA Group Stapled,Utilities,9427040000,0.58
API,Australian Pharmaceutical Industries Limited,Health Care,930621000,0.06
APN,APN News & Media Limited,Consumer Discretionary,817935000,0.05
APO,Apn Outdoor Group Limited,Consumer Discretionary,988024000,0.06
ARB,ARB Corporation Limited,Consumer Discretionary,1143420000,0.07
AST,Ausnet Services Limited,Utilities,5837110000,0.36
ASX,ASX Limited,Financials,9917880000,0.61
AWC,Alumina Limited,Materials,5313310000,0.33
AZJ,Aurizon Holdings Limited,Industrials,10504900000,0.65
BAL,Bellamy's Australia Limited,Consumer Staples,430255000,0.03
BAP,Bapcor Limited,Consumer Discretionary,1544660000,0.09
BEN,Bendigo And Adelaide Bank Limited,Financials,5776020000,0.36
BGA,Bega Cheese Limited,Consumer Staples,889675000,0.05
BHP,BHP Billiton Limited,Materials,80292300000,4.94
BKL,Blackmores Limited,Consumer Staples,1765650000,0.11
BKW,Brickworks Limited,Materials,1851890000,0.11
BLD,Boral Limited,Materials,6869860000,0.42
BOQ,Bank of Queensland Limited,Financials,4589790000,0.28
BPT,Beach Energy Limited,Energy,1314890000,0.08
BRG,Breville Group Limited,Consumer Discretionary,1269730000,0.08
BSL,Bluescope Steel Limited,Materials,7012980000,0.43
BTT,BT Investment Management Limited,Financials,3035770000,0.19
BWP,BWP Trust Ord Units,Real Estate,1830790000,0.11
BXB,Brambles Limited,Industrials,14789600000,0.91
CAR,Carsales.com Limited,Information Technology,2686960000,0.17
CBA,Commonwealth Bank of Australia,Financials,141852000000,8.72
CCL,Coca-cola Amatil Limited,Consumer Staples,7826800000,0.48
CCP,Credit Corp Group Limited,Financials,779439000,0.05
CGC,Costa Group Holdings Limited,Consumer Staples,1298660000,0.08
CGF,Challenger Limited,Financials,6539930000,0.4
CHC,Charter Hall Group Forus,Real Estate,2170900000,0.13
CIM,Cimic Group Limited,Industrials,12237300000,0.75
CMW,Cromwell Property Group Stapled,Real Estate,1734440000,0.11
COH,Cochlear Limited,Health Care,7497050000,0.46
CPU,Computershare Limited,Information Technology,7380860000,0.45
CQR,Charter Hall Retail Reit Unit,Real Estate,1742550000,0.11
CSL,CSL Limited,Health Care,53676000000,3.3
CSR,CSR Limited,Materials,2108730000,0.13
CTD,Corporate Travel Management Limited,Consumer Discretionary,1975970000,0.12
CTX,Caltex Australia Limited,Energy,7339210000,0.45
CWN,Crown Resorts Limited,Consumer Discretionary,9221470000,0.57
CWY,Cleanaway Waste Management Limited,Industrials,1956840000,0.12
CYB,CYBG PLC Cdi 1:1,Financials,3020570000,0.19
DLX,Duluxgroup Limited,Materials,2390000000,0.15
DMP,Domino's Pizza Enterprises Limited,Consumer Discretionary,4950140000,0.3
DOW,Downer Edi Limited,Industrials,2986240000,0.18
DUE,Duet Group Forus,Utilities,6794620000,0.42
DXS,Dexus Property Group Stapled,Real Estate,9137430000,0.56
ECX,Eclipx Group Limited,Financials,1018750000,0.06
EHE,Estia Health Limited,Health Care,813081000,0.05
EVN,Evolution Mining Limited,Materials,3628220000,0.22
FBU,Fletcher Building Limited NZX,Materials,6245870000,0.38
FLT,Flight Centre Travel Group Limited,Consumer Discretionary,2912910000,0.18
FMG,Fortescue Metals Group LTD,Materials,20644500000,1.27
FPH,Fisher & Paykel Healthcare Corporation Limited NZX,Health Care,4874570000,0.3
FXJ,Fairfax Media Limited,Consumer Discretionary,2173000000,0.13
FXL,Flexigroup Limited,Financials,871303000,0.05
GEM,G8 Education Limited,Consumer Discretionary,1484130000,0.09
GMA,Genworth Mortgage Insurance Australia Limited,Financials,1431320000,0.09
GMG,Goodman Group Stapled,Real Estate,13507900000,0.83
GNC,Graincorp Limited,Consumer Staples,2043680000,0.13
