,date,sentiment
0,2007-01-01,-0.361
1,2007-01-02,0.586
2,2007-01-03,-0.073
3,2007-01-04,0.599
4,2007-01-05,0.0
5,2007-01-06,0.0
6,2007-01-07,0.0
7,2007-01-08,-0.047
8,2007-01-09,-0.735
9,2007-01-10,-0.384
10,2007-01-11,-0.381
11,2007-01-12,-0.494
12,2007-01-13,0.0
13,2007-01-14,0.382
14,2007-01-15,0.0
15,2007-01-16,-0.392
16,2007-01-17,0.114
17,2007-01-18,-0.357
18,2007-01-19,-0.136
19,2007-01-20,0.0
20,2007-01-21,-0.379
21,2007-01-22,-0.258
22,2007-01-23,0.128
23,2007-01-24,-0.681
24,2007-01-25,0.011
25,2007-01-26,0.63
26,2007-01-27,0.477
27,2007-01-28,0.0
28,2007-01-29,0.44
29,2007-01-30,0.35
30,2007-01-31,-0.073
31,2007-02-01,0.34
32,2007-02-02,-0.158
33,2007-02-03,0.0
34,2007-02-04,0.0
35,2007-02-05,-0.421
36,2007-02-06,0.403
37,2007-02-07,-0.617
38,2007-02-08,-0.047
39,2007-02-09,0.0
40,2007-02-10,0.0
41,2007-02-11,0.0
42,2007-02-12,0.0
43,2007-02-13,0.04
44,2007-02-14,0.173
45,2007-02-15,0.113
46,2007-02-16,0.0
47,2007-02-17,0.0
48,2007-02-18,0.572
49,2007-02-19,0.297
50,2007-02-20,0.404
51,2007-02-21,0.387
52,2007-02-22,0.376
53,2007-02-23,0.003
54,2007-02-24,0.0
55,2007-02-25,0.0
56,2007-02-26,0.505
57,2007-02-27,0.189
58,2007-02-28,0.023
59,2007-03-01,-0.217
60,2007-03-02,-0.183
61,2007-03-03,-0.296
62,2007-03-04,0.134
63,2007-03-05,0.192
64,2007-03-06,-0.051
65,2007-03-07,0.024
66,2007-03-08,-0.822
67,2007-03-09,-0.637
68,2007-03-10,0.128
69,2007-03-11,-0.402
70,2007-03-12,-0.189
71,2007-03-13,0.26
72,2007-03-14,-0.599
73,2007-03-15,0.183
74,2007-03-16,0.076
75,2007-03-17,-0.382
76,2007-03-18,0.065
77,2007-03-19,0.0
78,2007-03-20,0.526
79,2007-03-21,0.224
80,2007-03-22,-0.574
81,2007-03-23,-0.411
82,2007-03-24,0.0
83,2007-03-25,0.402
84,2007-03-26,-0.177
85,2007-03-27,-0.474
86,2007-03-28,0.009
87,2007-03-29,0.073
88,2007-03-30,0.051
89,2007-03-31,0.0
90,2007-04-01,0.0
91,2007-04-02,0.421
92,2007-04-03,0.0
93,2007-04-04,0.294
94,2007-04-05,0.225
95,2007-04-06,0.0
96,2007-04-07,0.0
97,2007-04-08,0.226
98,2007-04-09,0.402
99,2007-04-10,0.402
100,2007-04-11,0.076
101,2007-04-12,0.421
102,2007-04-13,0.05
103,2007-04-14,0.0
104,2007-04-15,-0.074
105,2007-04-16,0.322
106,2007-04-17,-0.048
107,2007-04-18,0.039
108,2007-04-19,0.036
109,2007-04-20,-0.171
110,2007-04-21,-0.318
111,2007-04-22,0.0
112,2007-04-23,-0.107
113,2007-04-24,0.254
114,2007-04-25,0.057
115,2007-04-26,0.327
116,2007-04-27,-0.146
117,2007-04-28,-0.517
118,2007-04-29,0.087
119,2007-04-30,0.511
120,2007-05-01,-0.28
121,2007-05-02,-0.232
122,2007-05-03,0.304
123,2007-05-04,0.494
124,2007-05-05,0.0
125,2007-05-06,-0.553
126,2007-05-07,0.318
127,2007-05-08,-0.092
128,2007-05-09,0.0
129,2007-05-10,0.052
130,2007-05-11,-0.066
131,2007-05-12,0.0
132,2007-05-13,0.0
133,2007-05-14,0.44
134,2007-05-15,0.163
135,2007-05-16,-0.543
136,2007-05-17,-0.494
137,2007-05-18,0.0
138,2007-05-19,-0.022
139,2007-05-20,0.018
140,2007-05-21,-0.515
141,2007-05-22,-0.122
142,2007-05-23,0.382
143,2007-05-24,-0.261
144,2007-05-25,0.141
145,2007-05-26,-0.077
146,2007-05-27,0.297
147,2007-05-28,0.101
148,2007-05-29,-0.182
149,2007-05-30,-0.09
150,2007-05-31,0.026
151,2007-06-01,0.477
152,2007-06-02,0.0
153,2007-06-03,0.0
